phase,method_version,configuration,split,episodes,successes,success_rate,queries,reuses,skip_rate,technical_failures,predeclared_outcome,evidence_report
6,FR,fr,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,100,1.0000,1309,0,0.0000,0,reference_oracle,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s25-h2,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,52,0.5200,,,0.3469,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s25-h4,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,21,0.2100,,,0.4329,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s25-h8,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,23,0.2300,,,0.4728,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s50-h2,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,12,0.1200,,,0.5662,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s50-h4,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,4,0.0400,,,0.6326,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s50-h8,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,0,0.0000,,,0.6521,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s75-h2,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,3,0.0300,,,0.6414,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s75-h4,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,1,0.0100,,,0.7500,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6,SAVR1,savr-s75-h8,"LIBERO-Spatial tasks 0-9; states 0-9; seed 0",100,0,0.0000,,,0.8368,0,ineligible_success,reports/PHASE6_CALIBRATION_REPORT.md
6R-D,SAVR2,savr2-b05,"LIBERO-Spatial tasks 0-9; states 0-2; seed 0",30,30,1.0000,388,0,0.0000,0,ineligible_skip,reports/PHASE6R_D_STAGE1_REPORT.md
6R-D,SAVR2,savr2-b10,"LIBERO-Spatial tasks 0-9; states 0-2; seed 0",30,29,0.9667,461,31,0.0672,0,ineligible_success,reports/PHASE6R_D_STAGE1_REPORT.md
6R-D,SAVR2,savr2-b15,"LIBERO-Spatial tasks 0-9; states 0-2; seed 0",30,27,0.9000,473,50,0.1057,0,ineligible_success,reports/PHASE6R_D_STAGE1_REPORT.md
6S-D,SAVR3,savr3-rv-w375-b15,"LIBERO-Spatial tasks 0-9; states 3-9; seed 0",70,69,0.9857,944,9,0.009534,0,ineligible_success_and_skip,reports/PHASE6S_D_VALIDATION_REPORT.md
